; EV[European Go Congress 1982 - Main tournament]
; PC[DK, Copenhagen]
; DT[1982-07-25,1982-08-08]
;Pl Name                 Str Co     1    2    3    4    5    6    7    8    9   Pt  SOS    SODOS
   1 Schlemper Ronald               6d NL  xxx      8    48      9+      5+     11+      4+      7+      2-      3+      8+      6+
   2 Rehm Robert                    5d NL  xxx    6.5  43.5     12-     16+      5=      3+      6+      1+     11+      4-      7+
   3 Moussa Andre                   5d FR  xxx      6    49      6+      4-     13+      2-      8+      7+      1-     10+      5+
   4 Macfadyen Matthew              6d UK  xxx      6  43.5     10+      3+      7+      1-     11-     14+      5-      2+     15+
   5 Koopman Rob                    4d NL  xxx    5.5    49      8+      1-      2=     13+      9+     11+      4+      7-      3-
   6 Colmez Pierre                  4d FR  xxx      5  46.5      3-     10+     12+      7-      2-      9+     13+     11+      1-
   7 Garcia de_la_Banda             4d ES  xxx      5  44.5     13+     14+      4-      6+      1-      3-     15+      5+      2-
   8 Budig Stefan                   4d DE  xxx      5  36.5      5-      9+     14+     11-      3-     15+     12+      1-     16+
   9 Hansen Frank                   5d DK  xxx      5    36      1-      8-     10+     15+      5-      6-     16+     14+     12+
  10 Jukic Miloslav                 4d YU  xxx    4.5  33.5      4-      6-      9-     16+     15+     13=     14+      3-     11+
  11 Carlos_del_Rio Juan            4d ES  xxx      4  44.5     16+     12+      1-      8+      4+      5-      2-      6-     10-
  12 Petrovic Rade                  4d YU  xxx      4    33      2+     11-      6-     14+     13-     16+      8-     15+      9-
  13 Mutabzija Zoran                5d YU  xxx    3.5    34      7-     15+      3-      5-     12+     10=      6-     16+     14-
  14 Stankovic Miodrag              4d YU  xxx      3    34     15+      7-      8-     12-     16+      4-     10-      9-     13+
  15 Montolio Jorge                 4d ES  xxx      1    36     14-     13-     16+      9-     10-      8-      7-     12-      4-
  16 Nechanicky Vitezslav           4d CS  xxx      0  36.5     11-      2-     15-     10-     14-     12-      9-     13-      8-
