; EV[European Go Congress 1984 - Main tournament]
; PC[CH, Porrentruy]
; DT[1984-07-21,1984-08-04]
;Pl Name                  Str Co  Win   1    2    3    4    5    6    7    8    9  
   1 Hong Tay-You                   6d KR  xxx      9      7+      4+     10+      2+      6+      5+      3+     11+     12+
   2 Yoo Jong-Su                    6d KR  xxx      8      3+     23+     22+      1-      8+      4+     13+      5+     11+
   3 Macfadyen Matthew              6d UK  xxx      6      2-      8-     19+     25+     22+      9+      1-     10+     15+
   4 Colmez Pierre                  4d FR  xxx      6     25+      1-     11+     10+     12+      2-      7+      8+      6-
   5 Rittner Egbert                 4d DE  xxx      6     10-     48+     23+     15+     11+      1-      6+      2-     13+
   6 Rehm Robert                    5d NL  xxx      6     63+     10-     25+     14+      1-     15+      5-     30+      4+
   7 Westhoff Gerald                3d NL  xxx      6      1-     13+     34+     63+     17+     14+      4-     12-     22+
   8 Pocsai Tibor                   3d HU  xxx      6     49+      3+     17-     39+      2-     18+     24+      4-     38+
   9 Baumann Hans_Peter             4d CH  xxx      6     21-     29-     46+     49+     20+      3-     31+     26+     24+
  10 Stankovic Miodrag              4d YU  xxx      5      5+      6+      1-      4-     13-     37+     17+      3-     18+
  11 Lenz Karl-Friedrich            6d DE  xxx      5     39+     14+      4-     22+      5-     12+     34+      1-      2-
  12 Kraszek Janusz                 5d PL  xxx      5     15-     35+     24+     17+      4-     11-     14+      7+      1-
  13 Michel Jean                    4d FR  xxx      5     14-      7-     29+     35+     10+     20+      2-     22+      5-
  14 Budig Stefan                   4d DE  xxx      5     13+     11-     18+      6-     24+      7-     12-     20+     19+
  15 Winkelhofer Petr               5d CZ  xxx      5     12+     22-     63+      5-     23+      6-     47+     29+      3-
  16 Claasen Tony                   2d NL  xxx      6     29-     61+     44+     31+     32+     34-     37+     19-     26+
  17 Aaij Rene                      3d NL  xxx      5     36+     76+      8+     12-      7-     23+     10-     18-     34+
  18 Aroutcheff Pierre              3d FR  xxx      5     37+     39+     14-     23-     25+      8-     36+     17+     10-
  19 Zemor Gilles                   3d FR  xxx      5     35-     30+      3-     48+      9-     32+     40+     16+     14-
  20 Mary Charles                   3d FR  xxx      5     47+     24-     76+     37+     36+     13-     22-     14-     35+
  21 Boon Mark                      3d NL  xxx      5      9+     25-     35+     33+     34-     38-     44+     32+     29-
  22 Petrovic Rade                  4d YU  xxx      4     24+     15+      2-     11-      3-     36+     20+     13+      5-
  23 Shimizu Kishiko                4d JP  xxx      4     76+      2-      5-     18+     15-     17-     26-     37+     40+
  24 Zandveld Peter                 4d NL  xxx      4     22-     20+     12-     38+     14-     39+      8-     34+      9-
  25 Gondor Andras                  4d HU  xxx      4      4-     21+      6-      3-     18-     26-     54+     33+     39+
  26 Pechoux Francois               1d FR  xxx      6     86-     60+     45+     57+     58+     25+     23+      9-     16-
  27 Heaulme Alaine                 1d FR  xxx      6     45-     56+     43+     50+     28-     31-     60+     42+     48+
  28 Varga Barnabas                 1d HU  xxx      6     59-      0+     97+     47+     27+     29-     50+     40-      0+
