; EV[European Go Congress 1987 - Main tournament]
; PC[FR, Grenoble]
; DT[1987-07-25,1987-08-08]
;Pl Name                   Gr Cy  MM   1    2    3    4    5    6    7    8   9  W
   1 Macfadyen Matthew              6d UK  xxx     26     6     34+     19+     12+      3-      7-     15+     18+      6+      0=
   2 Lazarev Alexej                 6d SU  xxx     27     7     42+     12-     16+     30+     13+     14+      6+      7+      0=
   3 Donzet Frederic                5d FR  xxx     26     6     11+      4+      5+      1+      6-      8-     29+     13+      0=
   4 Zeijst Rob_van                 6d NL  xxx     26     6     32+      3-     55+      9+     21+      6+      5-      8+      0=
   5 Solovjev Valerij               6d SU  xxx     26     7     16+     29+      3-     15+     14-     35+      4+     12+      7+
   6 Heiser Laurent                 5d LU  xxx     25     6     10+     55+     30+      8+      3+      4-      2-      1-     13+
   7 Colmez Pierre                  5d FR  xxx     25     6     33+      9-     23+     51+      1+     20+      8+      2-      5-
   8 Kraszek Janusz                 6d PL  xxx     25     6     22+     13+     51+      6-     12+      3+      7-      4-     21+
   9 Aaij Rene                      4d NL  xxx     25     6     21+      7+     17-      4-     50-     53+     20+     18+     12+
  10 Muller Martin                  4d AT  xxx     25     6      6-     26+     19+     18+     17-     12-     33+     14+     15+
  11 Janssen Frank                  5d NL  xxx     25     6      3-     56+     31-     54+     32-     52+     16+     19+     17+
  12 Moussa Andre                   5d FR  xxx     24     5     70+      2+      1-     29+      8-     10+     19+      5-      9-
  13 Koopman Rob                    4d NL  xxx     24     5     15+      8-     20+     17+      2-     21+     14+      3-      6-
  14 Rittner Egbert                 5d DE  xxx     24     5     29-     22+     54+     31+      5+      2-     13-     10-     30+
  15 Mutabzija Zoran                5d YU  xxx     24     5     13-     74+     53+      5-     24+      1-     23+     29+     10-
  16 Pietsch Hans                   4d DE  xxx     24     5      5-     36+      2-     53+     20-     37+     11-     41+     43+
  17 Mattern Jurgen                 6d DE  xxx     24     5     23+     30-      9+     13-     10+     29-     51+     31+     11-
  18 Rehm Robert                    5d NL  xxx     24     5     30-     70+     24+     10-     31+     40+      1-      9-     32+
  19 Mattner Lutz                   5d DE  xxx     24     5     31+      1-     10-     79+     23+     32+     12-     11-     36+
  20 Bogdanov Victor                6d SU  xxx     24     5     24+     51-     13-     33+     16+      7-      9-     52+     22+
  21 Popov Alexander                5d SU  xxx     24     5      9-     38+     79+     40+      4-     13-     32+     30+      8-
  22 Soldan Leszek                  4d PL  xxx     24     5      8-     14-     44+     50-     41+     57+     34+     25+     20-
  23 Boon Mark                      4d NL  xxx     24     5     17-     52+      7-     37+     19-     54+     15-     38+     34+
  24 Eijkhout Michiel               4d NL  xxx     24     5     20-     37+     18-     81+     15-     38+     25-     68+     35+
  25 Petrovic Rade                  5d YU  xxx     24     5     55-     79-     26+     52-     56+     39+     24+     22-     31+
  26 Rhee Yang-Ho                   3d KR  xxx     24     6      0+     10-     25-     77-     84+     66+     75+     33+     29+
  27 Takahashi Yasurni              5d JP  xxx     24     7      0=     49+     41+     36-     58+     81+     57+     56+     37+
  28 Roads Francis                  2d UK  xxx     24     7      0-      0+      0+     45-     59+     69+     80+     75+     51+
  29 Michel Jean                    4d FR  xxx     23     4     14+      5-     39+     12-     36+     17+      3-     15-     26-
  30 Mittic Dragan                  4d YU  xxx     23     4     18+     17+      6-      2-     52-     79+     40+     21-     14-
  31 Zemor Gilles                   4d FR  xxx     23     4     19-     57+     11+     14-     18-     36+     35+     17-     25-
  32 Budig Stefan                   4d DE  xxx     23     4      4-     40-     58+     61+     11+     19-     21-     60+     18-
  33 Shimizu Kishiko                4d NL  xxx     23     4      7-     39-     64+     20-     47+     61+     10-     26-     68+
  34 Stankovic Mijodrag             5d YU  xxx     23     4      1-     53-     37-     47+     60+     70+     22-     39+     23-
  35 Katscher Michael               5d DE  xxx     23     4     51-     43+     40-     39+     80+      5-     31-     45+     24-
  36 Mills Quentin                  3d UK  xxx     23     5     44+     16-     82+     27+     29-     31-     48+     51+     19-
  37 Winkler Michael                3d AT  xxx     23     5     86+     24-     34+     23-     65+     16-     61+     42+     27-
  38 Cipra Petr                     3d CS  xxx     23     5     74+     21-     47-     63+     77+     24-     71+     23-     61+
  39 Groot Matti                    3d NL  xxx     23     5     69+     33+     29-     35-     62+     25-     65+     34-     55+
  40 Laatikainen Vesa               3d FI  xxx     23     5      0+     32+     35+     21-     51+     18-     30-     43-     60+
  41 Kaper Erik                     3d NL  xxx     23     5     54-     67+     27-     82+     22-     46+     70+     16-     63+
  42 Jipp Thomas                    4d DE  xxx     23     4      2-     54-     59+     60-     61-     62+     58+     37-     64+
  43 Yasumura X                     6d JP  xxx     23     6     63+     35-     62-     85+      0+     60+     52+     40+     16-
  44 VanDiepen Niek                 3d NL  xxx     23     5     36-      0+     22-     46-     86+     65-     67+     66+     53+
  45 Wielemaker Jan                 2d NL  xxx     23     6     66+     80-     83+     28+     79-     55+     53+     35-     57+
  46 Paatero Lauri                  2d FI  xxx     23     6     93+     59-     88+     44+     53-     41-      0+     58+     54+
  47 Pechoux Francois               2d FR  xxx     23     6      0+      0+     38+     34-     33-     58-     98+     59+     56+
  48 Bergmann Martin                2d DE  xxx     23     6     72-     91+      0+     56-      0+     64+     36-     80+     88+
