; EV[40th European Go Congress 1995 - Main tournament]
; PC[PL, Tuchola]
; DT[1995-07-22,1995-08-05]
;
;Pl  Name                Cy   Gr    1    2    3    4    5    6    7    8    9   10    MM Pt  SOS SODOS
   1 Guo Juan                       7D NL  xxx     33    10   294   294     57+     32+     37+      5+      3+      2+     30+      4+      7+      6+
   2 Wataru Miyakawa                6D JP  xxx     32     9   293   260     40+     63+     50+      4+     30+      1-      5+      3+     13+     15+
   3 Sumikura Yasuyuki              7D JP  xxx     31     8   298   233     47+      9+      8+     20+      1-     12+     57+      2-     11+      4+
   4 Gerlach Christoph              5D DE  xxx     30     7   301   205     23+     12+     34+      2-     15+      7+      6+      1-      9+      3-
   5 Colmez Pierre                  5D FR  xxx     30     7   295   200     27+     80+     18+      1-     20+     50+      2-     11-     24+     16+
   6 Seailles Jeff                  5D FR  xxx     30     7   293   203     58-     59+     26+     13+     10+      9+      4-     14+     12+      1-
   7 Macfadyen Matthew              6D UK  xxx     30     7   291   200      0+     38+     13+     30-      8+      4-     25+     23+      1-     18+
   8 Groot Matti                    4D NL  xxx     30     7   290   200     15+     17+      3-     21+      7-     38+     14-     31+     36+     22+
   9 Danek Vladimir                 5D CZ  xxx     30     7   288   197     65+      3-     81+     55+     19+      6-     24+     30+      4-     21+
  10 Muller Cas                     5D NL  xxx     30     7   287   200     33-     44+     22+     18+      6-     16-     47+     25+     39+     28+
  11 Bisca Mihai                    5D RO  xxx     30     7   283   197     14+     58-      0+     57+     34+     30-     31+      5+      3-     12+
  12 Ghioc Constantin               4D RO  xxx     29     6   292   171     19+      4-     60+     17+     35+      3-     15+     16+      6-     11-
  13 Crasmaru Marcel                5D RO  xxx     29     6   286   165     86+     22+      7-      6-     39+     61+     59+     50+      2-     29-
  14 Firnhaber Marco                4D DE  xxx     29     6   285   168     11-     82+     36+     35-     56+     59+      8+      6-     15-     41+
  15 Schuster Malte                 5D DE  xxx     29     6   285   164      8-      0+     78+     80+      4-      0+     12-     20+     14+      2-
  16 Rehm Robert                    5D NL  xxx     29     6   284   169     87+     50-     55-     65+     18+     10+     32+     12-     29+      5-
  17 Pliushch Yurii                 5D UA  xxx     29     6   284   168     39+      8-     31+     12-     41-     68+     27+     29-     44+     45+
  18 Matoh Leon                     5D SI  xxx     29     6   284   165     41+     45+      5-     10-     16-     71+     61+     58+     30+      7-
  19 Gomenyuk Andrei                5D RU  xxx     29     6   283   167     12-     39+     33+     51+      9-     31-     43+     28-     59+     36+
  20 Soldan Leszek                  5D PL  xxx     29     6   283   164     92+     35+     58+      3-      5-     23-     60+     15-     52+     43+
  21 Passow Adrian                  4D DE  xxx     29     6   281   166     63-     40+     32+      8-     81+     35+     50-     37+     66+      9-
  22 Verhagen Rudi                  4D NL  xxx     29     6   281   165     46+     13-     10-     48+     57-     67+     95+     32+     50+      8-
  23 Ghioc Adrian_Romeo             4D RO  xxx     29     6   281   164      4-      0+     63+     50-     80+     20+     58+      7-     28-     42+
  24 Bogatskiy Dmitri               5D UA  xxx     29     6   280   165     80-     87+     42+     34-     45+     33+      9-     57+      5-     46+
  25 Deaconu Lucian                 5D RO  xxx     29     6   280   164     51-     31-     71+      0+     43+     40+      7-     10-     62+     39+
  26 Nechanicky Radek               5D CZ  xxx     29     6   277   162     42-     88+      6-     64+     33-     28-     67+     85+     58+     30+
  27 Cann Des                       4D UK  xxx     29     6   276   163      5-     60-     61-      0+     69+     85+     17-     79+     32+     31+
  28 Miki Takashi                   6D JP  xxx     29     6   145   115      0=      0=      0=      0=      0=     26+     38+     19+     23+     10-
  29 Roche Antoine                  5D FR  xxx     29     6   143   114      0=      0=      0=      0=      0=     45+     41+     17+     16-     13+
  30 Pop Cristian                   5D RO  xxx     28     5   296   143     64+     33+     51+      7+      2-     11+      1-      9-     18-     26-
  31 Franke Lutz                    4D DE  xxx     28     5   286   140     35-     25+     17-     72+     68+     19+     11-      8-     37+     27-
  32 Giedrojc Krzysztof             5D PL  xxx     28     5   286   137     44+      1-     21-     60+     66+     41+     16-     22-     27-     62+
  33 Lounela Olli                   4D FI  xxx     28     5   283   141     10+     30-     19-     37+     26+     24-     62+     36-     46-     70+
  34 Jatsenko Dmitri                5D UA  xxx     28     5   282   139     59+     42+      4-     24+     11-     57-     36-     47+     45-     67+
  35 Bogatskiy Arkadiy              5D UA  xxx     28     5   282   139     31+     20-     41+     14+     12-     21-     44+     39-     42-      0+
  36 Calota Lucretiu                5D RO  xxx     28     5   282   138     48+     51-     14-     44-     88+     54+     34+     33+      8-     19-
  37 Ejov Dmitri                    3D RU  xxx     28     6   281   163     83+     47+      1-     33-      0+     72+     46+     21-     31-     76+
  38 Dinerstein Alexandr            4D RU  xxx     28     5   281   137     43+      7-     64+     66-     44+      8-     28-     52-     72+     77+
  39 Holecek David                  4D CZ  xxx     28     5   281   135     17-     19-     74+      0+     13-      0+     40+     35+     10-     25-
  40 Mizessyn Francois              4D FR  xxx     28     5   281   135      2-     21-     83+      0+     55+     25-     39-     64+     43-     73+
  41 Westhoff Arend-Jan             4D NL  xxx     28     5   280   137     18-      0+     35-     62+     17+     32-     29-     48+     57+     14-
  42 Zandveld Peter                 4D NL  xxx     28     5   279   138     26+     34-     24-      0+     61-     55-     49+     69+     35+     23-
  43 Siivola Matti                  5D FI  xxx     28     5   277   135     38-     86+     45+     58-     25-     89+     19-     70+     40+     20-
  44 Valasek Petr                   4D CZ  xxx     28     5   277   134     32-     10-      0+     36+     38-      0+     35-     61+     17-     84+
