; CL[A]
; EV[2nd European Women Championship]
; PC[RU, Moscow]
; DT[1997-10-02,1997-10-05]
; HA[h9]
; KM[5.5]
; TM[0]
;
;Pl    Name                    Gr    Cy       1.     2.     3.     4.     5.     6.   MMS  SOS  SODOS
 1    Danilchenko Irina       4D    RU xxx   14+     7+    16+     2+     5+     6+    7    24    24
 2    Koszegi Diana           4D    HU xxx   13+     6+     4+     1-     3+     9+    6    28    21
 3    Simunkova Martina       2D    CZ xxx   12+     4-     8+     6+     2-     5+    5    26    15
 4    Sulejmanova Dina        2k    RU xxx    8+     3+     2-     5-    12+    13+    5    25    15 
 5    Varga Veronika          1k    HU xxx    6-     9+    11+     4+     1-     3-    4    29    13
 6    Mazlova Sofya           1D    RU xxx    5+     2-    12+     3-     7+     1-    4    29    11
 7    Elvina Gerasimova       1D    RU xxx    9+     1-    17-    15+     6-    14+    4    24    10
 8    Rapmund Antye           2D    DE xxx    4-    13+     3-    11+     9-    12+    4    24    10
 9    Shchegulnaya Oksana     3k    LV xxx    7-     5-    19+    10+     8+     2-    4    24    10
10    Bernane Agnessa         5k    LV xxx   20+    11-    18+     9-    17+    16+    4    19    11
11    Kovaleva Natalia        4k    RU xxx   22+    10+     5-     8-    13+    15+    4    18    10
12    Gorbunova Elizaveta     2k    UA xxx    3-    14+     6-    16+     4-     8-    3    24     6
13    Vinokurova Lidiya       3k    RU xxx    2-     8-    21+    17+    11-     4-    3    24     5
14    Pliet Karen             3k    NL xxx    1-    12-    15-    19+    21+     7-    3    21     4
15    Solovyeva Elena         7k    RU xxx   16-    17+    14+     7-    18+    11-    3    20     9
16    Tokmalaeva Tatjana      4k    RU xxx   15+    18+     1-    12-    22+    10-    3    20     6
17    Burdakova Dina          4k    RU xxx   21+    15-     7+    13-    10-    20+    3    18     8
18    Stolyar Nadezhda        6k    UA xxx   19+    16-    10-    20+    15-    22+    3    14     4
19    Starikova Maria         5k    RU xxx   18-    22+     9-    14-    20-    21+    2    14     2
20    Turetskaya Elena        6k    RU xxx   10-    21-    22+    18-    19+    17-    2    14     2
21    Voznikova Anna          8k    UA xxx   17-    20+    13-    22+    14-    19-    2    13     2
22    Solomatina Yulia        5k    RU xxx   11-    19-    20-    21-    16-    18-    0    16     0
